payment_key,coustomer_key,time_key,item_key,store_key,quantity,unit,unit_price,total_price
P030,C007837,T012803,I00222,S00265,6,ct,12,72
P016,C002928,T083400,I00068,S0014,6,bottles,20,120
P013,C005340,T067924,I00189,S00168,5,ct.,13,65
P001,C002993,T023419,I00086,S00144,2,cans,18,36
P023,C007592,T07056,I00150,S0020,5,bags,16,80
P010,C007746,T070198,I00009,S00379,11,cans,16.25,178.75
P029,C005610,T030718,I00029,S0012,7,cans,11.5,80.5
P030,C003414,T019188,I00218,S00176,1,ct,6,6
P009,C002706,T083262,I00166,S00193,5,bags,17,85
P039,C007013,T098609,I00075,S00255,9,cans,15.5,139.5
P033,C007170,T086214,I00065,S00664,10,bottles,20,200
P024,C003365,T069478,I00176,S00255,3,ct,19,57
P003,C003314,T04209,I00093,S00332,4,bottles,13,52
P030,C006696,T033614,I00199,S00167,7,ct,15,105
P017,C000876,T085378,I00213,S00504,10,ct,12,120
P020,C008822,T068466,I00259,S00723,6,pack,26,156
P035,C005808,T023984,I00246,S00427,11,ct,20,220
P025,C004215,T046086,I00086,S0024,4,cans,18,72
P027,C006602,T034557,I00121,S00565,3,ct,17,51
P007,C008841,T053713,I00013,S00659,6,cans,6.75,40.5
P032,C001727,T027625,I00130,S00259,6,ct,14,84
P017,C003804,T063688,I00087,S00678,11,bottles,15,165
P027,C002182,T044923,I00097,S00469,6,cartons,19,114
P026,C000236,T02246,I00001,S00432,2,cans,11.5,23
P007,C009138,T032941,I00098,S00170,11,oz,10,110
P033,C004787,T015643,I00202,S00304,2,ct.,12,24
P032,C003109,T040680,I00049,S00389,1,cans,8,8
P015,C001174,T092732,I00096,S00385,7,bottles,20,140
P012,C003242,T039552,I00140,S00409,11,ct,29,319
